Country,Population,Percentage of World Population,Total Area (km2),Percentage Water,Total Nominal GDP,Per Capita GDP,Continent_Name
 Equatorial Guinea,1358276,0.018000000000000002,280502,0.0,$12.432 billion,"$9,141",Africa
 Estonia,1323820,0.017,452272,4.45,$31.179 billion,"$23,514 ",Europe
 Mauritius,1265577,0.016,20402,0.07,$14.889 billion ,"$11,640 ",Africa
 Eswatini,1093238,0.013999999999999999,173642,0.9,$4.756 billion,"$4,092",South America
 Djibouti,1078373,0.013999999999999999,232002,0.09,$2.187 billion,"$2,084",Africa
 Fiji,884887,0.011000000000000001,182742,0.0,$5.223 billion,"$5,876",Oceania
 Comoros,873724,0.011000000000000001,16592,0.0,$781 million ,$894 ,Africa
 Guyana,786508,0.0102,2149702,8.4,$3.636 billion ,"$4,648 ",South America
 Bhutan,741672,0.0096,383942,1.1,$2.547 billion,"$3,117 ",Asia
 Solomon Islands,680806,0.0088,284002,3.2,$1.511 billion,"$2,357",Oceania
 Montenegro,622359,0.0081,138122,2.6,$5.607 billion,"$8,988 ",Europe
 Luxembourg,613894,0.008,2586,0.6,$77.436 billion ,"$125,364 ",Europe
 Suriname,573085,0.0074,1638212,1.1,$4.110 billion,"$6,881",South America
 Cape Verde,550483,0.0071,40332,0.0,$2.042 billion,"$3,651",Africa
 Malta,475701,0.0062,3162,0.001,$14.270 billion,"$30,555",Europe
 Transnistria,469000,0.0061,41632,2.35,US$1.0 billion,"US$2,000",Asia
 Brunei,421300,0.0055,57652,8.6,$14.695 billion ,"$33,824 ",Asia
 Belize,398050,0.0052,229662,0.8,$1.912 billion,"$4,906",North America
 Bahamas,385340,0.005,138782,28.0,$12.803 billion ,"$34,002 ",North America
 Maldives,378114,0.0049,2982,427756.0,$4.825 billion,"$13,196",Asia
 Iceland,357050,0.0046,1027752,2.7,$27 billion,"$75,700 ",Europe
 Northern Cyprus,351965,0.0046,33552,2.7,$3.685 billion,"$12,702",Oceania
 Vanuatu,304500,0.004,121892,270402.0,$957 million ,"$3,327 ",Oceania
 Barbados,287010,0.0037,4392,0.0,$5.207 billion,"$18,133",North America
 Abkhazia,244832,0.0032,86602,243206.0,US$0.5 billion,"US$2,000",Europe
 São Tomé and Príncipe,201784,0.0026,10012,0.0,$355 million,"$1,668",North America
 Samoa,200874,0.0026,28422,0.3,$881 million,"$4,420",Oceania
 Saint Lucia,180454,0.0023,6172,1.6,$1.774 billion,"$10,042",North America
 Curaçao ,160012,0.0021,4442,160012.0,US$5.6 billion ,"US$36,165 ",Europe
 Kiribati,120100,0.0016,8112,110136.0,$187 million,"$1,599",Oceania
 Saint Vincent and the Grenadines,109803,0.0014,3892,0.0,$864 million,"$7,827",North America
 Grenada,108825,0.0014,348,1.6,$1.249 billion,"$11,518",North America
 Federated States of Micronesia,105300,0.0014,7022,0.0,$383 million,"$3,735",Europe
 Antigua and Barbuda,104084,0.0014,4402,0.0,$1.717 billion,"$18,416",North America
 Tonga,100651,0.0013,7482,4.0,$493 million,"$4,888",Oceania
 Seychelles,96762,0.0013,4592,0.0,$1.564 billion,"$16,332",Africa
 Andorra,74794,0.001,467,0.26,$3.249 billion ,"$36,987 ",Europe
 Dominica,74679,0.001,7502,1.6,$485 million,"$6,860",North America
 Saint Kitts and Nevis,56345,0.0007,2612,0.0,$1.058 billion,"$18,714",North America
 Marshall Islands,55500,0.00072,181,,$220 million,"$3,866",Oceania
 South Ossetia,53532,0.0007,39002,0.0,US$0.1 billion,"US$2,000",Antarctica
 Liechtenstein,38380,0.0005,1602,2.7,$5.155 billion ,"$143,151 ",Europe
 Monaco,38300,0.0005,2,0.0,US$6.5 billion ,"US$168,000 ",Europe
 San Marino,33419,0.00043,61,0.0,$1.55 billion ,"$44,947 ",Europe
 Palau,17900,0.00022999999999999998,4592,0.0,$321 million,"$17,438",Oceania
 Nauru,11000,0.00014,212,0.57,$114 million,"$8,570",Oceania
 Tuvalu,10200,0.00013000000000000002,262,0.0,$32 million ,"$2,970 ",Oceania
